"","name","id","date","prcp","tmax","tmin"
"188","CentralPark_NY","USW00094728",2022-07-07,0,28.9,20.6
"189","CentralPark_NY","USW00094728",2022-07-08,61,28.3,20
"190","CentralPark_NY","USW00094728",2022-07-09,0,29.4,21.7
"191","CentralPark_NY","USW00094728",2022-07-10,0,28.3,19.4
"192","CentralPark_NY","USW00094728",2022-07-11,0,29.4,19.4
"193","CentralPark_NY","USW00094728",2022-07-12,0,32.2,21.1
"194","CentralPark_NY","USW00094728",2022-07-13,0,32.8,23.3
"195","CentralPark_NY","USW00094728",2022-07-14,0,32.2,22.2
"196","CentralPark_NY","USW00094728",2022-07-15,0,30,22.8
"197","CentralPark_NY","USW00094728",2022-07-16,282,29.4,18.9
"198","CentralPark_NY","USW00094728",2022-07-17,0,28.3,21.7
"199","CentralPark_NY","USW00094728",2022-07-18,470,27.2,20.6
"200","CentralPark_NY","USW00094728",2022-07-19,0,32.2,22.8
"201","CentralPark_NY","USW00094728",2022-07-20,0,35,25.6
"202","CentralPark_NY","USW00094728",2022-07-21,41,33.3,23.3
"203","CentralPark_NY","USW00094728",2022-07-22,0,34.4,25.6
"204","CentralPark_NY","USW00094728",2022-07-23,0,35,25.6
"205","CentralPark_NY","USW00094728",2022-07-24,0,35,26.1
"206","CentralPark_NY","USW00094728",2022-07-25,249,30,22.8
"207","CentralPark_NY","USW00094728",2022-07-26,0,27.2,21.7
"208","CentralPark_NY","USW00094728",2022-07-27,0,29.4,21.1
"209","CentralPark_NY","USW00094728",2022-07-28,5,30.6,22.8
"210","CentralPark_NY","USW00094728",2022-07-29,25,29.4,22.2
"211","CentralPark_NY","USW00094728",2022-07-30,0,30.6,22.8
"212","CentralPark_NY","USW00094728",2022-07-31,0,30,21.7
"213","CentralPark_NY","USW00094728",2022-08-01,122,25,20
"214","CentralPark_NY","USW00094728",2022-08-02,0,32.2,22.2
"215","CentralPark_NY","USW00094728",2022-08-03,0,31.7,21.7
"216","CentralPark_NY","USW00094728",2022-08-04,0,33.9,24.4
"217","CentralPark_NY","USW00094728",2022-08-05,0,31.7,25.6
"218","CentralPark_NY","USW00094728",2022-08-06,0,33.3,25
"219","CentralPark_NY","USW00094728",2022-08-07,41,33.3,24.4
"220","CentralPark_NY","USW00094728",2022-08-08,0,33.9,26.1
"221","CentralPark_NY","USW00094728",2022-08-09,8,36.1,25.6
"222","CentralPark_NY","USW00094728",2022-08-10,0,30.6,23.9
"223","CentralPark_NY","USW00094728",2022-08-11,28,31.7,22.2
"224","CentralPark_NY","USW00094728",2022-08-12,0,29.4,21.7
"225","CentralPark_NY","USW00094728",2022-08-13,0,26.1,18.3
"226","CentralPark_NY","USW00094728",2022-08-14,0,27.8,18.9
"227","CentralPark_NY","USW00094728",2022-08-15,0,28.3,20
"228","CentralPark_NY","USW00094728",2022-08-16,0,28.3,18.9
"229","CentralPark_NY","USW00094728",2022-08-17,86,27.2,17.2
"230","CentralPark_NY","USW00094728",2022-08-18,0,30.6,16.7
"231","CentralPark_NY","USW00094728",2022-08-19,0,32.2,20.6
"232","CentralPark_NY","USW00094728",2022-08-20,0,32.2,23.3
"233","CentralPark_NY","USW00094728",2022-08-21,0,27.8,22.2
"234","CentralPark_NY","USW00094728",2022-08-22,58,26.1,22.8
"235","CentralPark_NY","USW00094728",2022-08-23,0,30,22.2
"236","CentralPark_NY","USW00094728",2022-08-24,0,32.2,21.7
"237","CentralPark_NY","USW00094728",2022-08-25,0,32.8,22.2
"238","CentralPark_NY","USW00094728",2022-08-26,61,30.6,23.3
"239","CentralPark_NY","USW00094728",2022-08-27,0,32.2,23.3
"240","CentralPark_NY","USW00094728",2022-08-28,0,27.8,22.8
"241","CentralPark_NY","USW00094728",2022-08-29,0,29.4,23.9
"242","CentralPark_NY","USW00094728",2022-08-30,30,31.7,22.8
"243","CentralPark_NY","USW00094728",2022-08-31,0,29.4,20.6
"244","CentralPark_NY","USW00094728",2022-09-01,0,30,20.6
"245","CentralPark_NY","USW00094728",2022-09-02,0,26.1,16.7
"246","CentralPark_NY","USW00094728",2022-09-03,0,27.8,18.3
"247","CentralPark_NY","USW00094728",2022-09-04,0,32.2,21.7
"248","CentralPark_NY","USW00094728",2022-09-05,15,31.1,22.8
"249","CentralPark_NY","USW00094728",2022-09-06,198,23.3,19.4
"250","CentralPark_NY","USW00094728",2022-09-07,0,22.2,18.3
"251","CentralPark_NY","USW00094728",2022-09-08,0,25.6,18.3
"252","CentralPark_NY","USW00094728",2022-09-09,0,26.7,16.7
"253","CentralPark_NY","USW00094728",2022-09-10,0,30,17.8
"254","CentralPark_NY","USW00094728",2022-09-11,81,24.4,19.4
"255","CentralPark_NY","USW00094728",2022-09-12,206,27.2,20
"256","CentralPark_NY","USW00094728",2022-09-13,104,27.8,20
"257","CentralPark_NY","USW00094728",2022-09-14,0,26.7,16.7
"258","CentralPark_NY","USW00094728",2022-09-15,0,23.3,16.7
"259","CentralPark_NY","USW00094728",2022-09-16,0,23.9,13.9
"260","CentralPark_NY","USW00094728",2022-09-17,0,24.4,17.8
"261","CentralPark_NY","USW00094728",2022-09-18,0,28.3,19.4
"262","CentralPark_NY","USW00094728",2022-09-19,36,29.4,20
"263","CentralPark_NY","USW00094728",2022-09-20,0,26.1,19.4
"264","CentralPark_NY","USW00094728",2022-09-21,0,26.7,16.7
"265","CentralPark_NY","USW00094728",2022-09-22,119,23.9,13.9
"266","CentralPark_NY","USW00094728",2022-09-23,0,17.2,10.6
"267","CentralPark_NY","USW00094728",2022-09-24,0,20.6,9.4
"268","CentralPark_NY","USW00094728",2022-09-25,282,22.2,15
"269","CentralPark_NY","USW00094728",2022-09-26,0,23.3,14.4
"270","CentralPark_NY","USW00094728",2022-09-27,0,21.1,15
"271","CentralPark_NY","USW00094728",2022-09-28,0,20.6,11.7
"272","CentralPark_NY","USW00094728",2022-09-29,0,18.9,11.7
"273","CentralPark_NY","USW00094728",2022-09-30,0,16.7,11.1
"274","CentralPark_NY","USW00094728",2022-10-01,150,16.1,10.6
"275","CentralPark_NY","USW00094728",2022-10-02,0,15.6,10
"276","CentralPark_NY","USW00094728",2022-10-03,119,11.7,8.3
"277","CentralPark_NY","USW00094728",2022-10-04,470,12.8,7.8
"278","CentralPark_NY","USW00094728",2022-10-05,94,15,12.2
"279","CentralPark_NY","USW00094728",2022-10-06,0,23.3,11.7
"280","CentralPark_NY","USW00094728",2022-10-07,0,24.4,14.4
"281","CentralPark_NY","USW00094728",2022-10-08,8,14.4,8.3
"282","CentralPark_NY","USW00094728",2022-10-09,0,16.1,6.7
"283","CentralPark_NY","USW00094728",2022-10-10,0,19.4,11.1
"284","CentralPark_NY","USW00094728",2022-10-11,0,21.1,10.6
